"Vármegye","Egyéni választókerület","Választókerület jelöltjeire szavazók aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma","Belföldön más OEVK-ba átjelentkezettek száma","Külképviseleten szavazók száma","Választókerületi névjegyzékben szereplő választópolgárok aktuális száma","Hazai szavazókörben lakcím szerint szavazók száma ","OEVK-ba átjelentkezett szavazók száma"
"Budapest főváros","Budapest főváros, 01. számú egyéni választókerület","73 937","68 237","2 864","2 836","75 709","68 237","7 472"
"Budapest főváros","Budapest főváros, 02. számú egyéni választókerület","76 458","70 948","3 216","2 294","82 230","70 948","11 282"
"Budapest főváros","Budapest főváros, 03. számú egyéni választókerület","78 425","73 606","2 061","2 758","86 522","73 606","12 916"
"Budapest főváros","Budapest főváros, 04. számú egyéni választókerület","80 332","75 056","1 986","3 290","79 132","75 056","4 076"
"Budapest főváros","Budapest főváros, 05. számú egyéni választókerület","76 972","71 691","3 066","2 215","74 554","71 691","2 863"
"Budapest főváros","Budapest főváros, 06. számú egyéni választókerület","78 260","73 175","2 822","2 263","81 035","73 175","7 860"
"Budapest főváros","Budapest főváros, 07. számú egyéni választókerület","75 382","71 515","2 370","1 497","76 028","71 515","4 513"
"Budapest főváros","Budapest főváros, 08. számú egyéni választókerület","79 275","76 081","1 920","1 274","81 205","76 081","5 124"
"Budapest főváros","Budapest főváros, 09. számú egyéni választókerület","75 115","72 278","1 791","1 046","77 000","72 278","4 722"
"Budapest főváros","Budapest főváros, 10. számú egyéni választókerület","77 065","73 465","1 945","1 655","75 351","73 465","1 886"
"Budapest főváros","Budapest főváros, 11. számú egyéni választókerület","79 538","75 664","2 141","1 733","81 207","75 664","5 543"
"Budapest főváros","Budapest főváros, 12. számú egyéni választókerület","78 758","75 040","2 236","1 482","88 641","75 040","13 601"
"Budapest főváros","Budapest főváros, 13. számú egyéni választókerület","76 574","73 582","1 812","1 180","76 598","73 582","3 016"
"Budapest főváros","Budapest főváros, 14. számú egyéni választókerület","77 339","74 283","1 603","1 453","76 570","74 283","2 287"
"Budapest főváros","Budapest főváros, 15. számú egyéni választókerület","79 348","76 579","1 572","1 197","78 679","76 579","2 100"
"Budapest főváros","Budapest főváros, 16. számú egyéni választókerület","83 481","80 479","1 763","1 239","81 147","80 479","668"
"Bács-Kiskun vármegye","Bács-Kiskun vármegye, 01. számú egyéni választókerület","67 915","65 646","1 638","631","66 070","65 646","424"
"Bács-Kiskun vármegye","Bács-Kiskun vármegye, 02. számú egyéni választókerület","71 524","68 837","1 864","823","71 307","68 837","2 470"
"Bács-Kiskun vármegye","Bács-Kiskun vármegye, 03. számú egyéni választókerület","63 259","60 776","1 957","526","61 697","60 776","921"
"Bács-Kiskun vármegye","Bács-Kiskun vármegye, 04. számú egyéni választókerület","70 069","67 885","1 645","539","68 728","67 885","843"
"Bács-Kiskun vármegye","Bács-Kiskun vármegye, 05. számú egyéni választókerület","65 606","62 925","2 052","629","63 754","62 925","829"
"Bács-Kiskun vármegye","Bács-Kiskun vármegye, 06. számú egyéni választókerület","62 149","59 379","2 123","647","60 252","59 379","873"
"Baranya vármegye","Baranya vármegye, 01. számú egyéni választókerület","70 767","66 946","2 594","1 227","71 112","66 946","4 166"
"Baranya vármegye","Baranya vármegye, 02. számú egyéni választókerület","74 958","71 630","2 338","990","72 155","71 630","525"
"Baranya vármegye","Baranya vármegye, 03. számú egyéni választókerület","68 695","66 188","1 831","676","67 216","66 188","1 028"
"Baranya vármegye","Baranya vármegye, 04. számú egyéni választókerület","73 796","71 259","2 003","534","72 460","71 259","1 201"
"Békés vármegye","Békés vármegye, 01. számú egyéni választókerület","66 032","62 583","2 719","730","63 703","62 583","1 120"
"Békés vármegye","Békés vármegye, 02. számú egyéni választókerület","66 424","63 528","2 273","623","64 190","63 528","662"
"Békés vármegye","Békés vármegye, 03. számú egyéni választókerület","65 277","62 217","2 493","567","63 218","62 217","1 001"
"Békés vármegye","Békés vármegye, 04. számú egyéni választókerület","68 181","64 885","2 619","677","65 609","64 885","724"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 01. számú egyéni választókerület","69 174","66 141","2 212","821","66 431","66 141","290"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 02. számú egyéni választókerület","68 297","64 970","2 451","876","67 090","64 970","2 120"
"Borsod-Abaúj-Zemplén vármegye","Borsod-Abaúj-Zemplén vármegye, 03. számú egyéni választókerület","67 627","65 072","2 185","370","65 658","65 072","586"
